Area,Moisture,rainfall,Maxtemp,Mintemp,Humidity,Soiltype,Fertilizers,pests,pathogens,Outcomes,OUTCOME
2537,12.87,0.21,80,50,45,1,12,0,1,146.16,1
1336,12.87,0.19,83,52,44,2,28,0,0,87.28,0
2508,12.95,0.29,86,55,45,4,97,0,1,150.41,1
1090,13.05,0.31,87,63,50,4,85,1,0,80.35,0
568,12.79,0.25,88,63,47,2,45,0,1,51.43,0
609,12.84,0.29,86,65,48,1,4,1,0,51.39,0
1466,12.88,0.28,90,66,59,1,5,0,0,96.27,0
1031,12.88,0.23,89,65,61,3,55,0,0,77.57,0
2347,12.75,0.26,83,62,59,4,88,0,0,144.23,1
1541,12.99,0.24,85,66,61,2,29,0,0,101.36,1
288,12.81,0.24,83,66,52,1,5,0,1,35.83,0
1788,12.87,0.21,86,64,68,2,40,0,0,115.21,1
2948,12.83,0.22,80,63,62,3,56,1,0,172.83,1
834,12.98,0.22,80,57,64,4,89,0,1,68.86,0
2880,12.7,0.21,77,56,58,1,12,1,0,165.46,1
2107,12.94,0.22,82,54,48,4,79,0,1,129.52,1
1738,13.08,0.24,87,59,36,2,45,1,1,108.00,1
2654,12.85,0.29,91,64,40,3,59,0,1,155.90,1
2619,13.03,0.3,95,65,33,4,79,0,0,154.65,1
3114,12.9,0.26,97,66,33,1,12,0,0,175.65,1
303,12.89,0.24,97,67,33,4,97,0,0,40.02,0
1002,12.9,0.25,96,65,35,2,29,0,0,71.25,0
343,12.96,0.27,96,63,43,1,10,0,0,38.21,0
3135,12.93,0.23,92,66,36,3,55,0,1,179.37,1
2122,12.88,0.27,96,66,43,4,98,1,1,132.47,1
1485,13.05,0.15,86,66,32,1,20,1,1,93.73,0
458,12.72,0.14,89,62,37,2,30,0,0,43.60,0
1148,13.08,0.09,87,60,34,4,78,1,0,80.25,0
1156,12.98,0.09,90,60,27,3,72,0,1,79.31,0
234,12.91,0.14,97,62,28,4,79,1,0,34.58,0
455,12.86,0.11,94,73,28,2,28,0,0,43.22,0
678,12.82,0.08,94,74,22,4,90,1,0,57.09,0
78,12.88,0.11,93,64,21,1,4,0,1,21.22,0
980,12.8,0.13,91,73,23,2,30,0,0,68.59,0
105,12.86,0.09,88,63,21,2,35,1,0,23.87,0
234,12.94,0.1,91,59,23,3,54,1,0,31.71,0
781,12.7,0.09,95,59,21,3,61,0,0,59.32,0
345,12.93,0.12,97,61,22,4,87,0,0,39.51,0
9012,12.9,0.08,98,61,22,1,15,0,0,468.72,1
804,12.8,0.05,101,66,18,4,78,1,0,62.10,0
492,12.84,0.08,104,66,15,2,49,0,0,44.39,0
341,12.75,0.07,102,74,13,4,86,1,0,39.27,0
678,12.88,0.02,94,68,11,4,78,0,1,54.39,0
210,12.53,0.05,89,62,35,2,37,0,0,31.21,0
